N,P,K,Ph,Temperature(C),Rainfall(cm),Humidity,Crop
58,77,76,6.2,30,47,61,chickpea
27,27,33,7.2,24,198,72,mango
36,56,20,6.6,29,86,60,mothbeans
10,62,24,6.1,30,65,63,kidneybeans
32,11,8,6.9,22,115,70,orange
92,35,40,5.8,32,135,76,rice
12,69,23,7.1,24,75,70,pigeonpeas
111,7,53,6.5,20,69,73,watermelon
15,67,24,6.1,23,59,62,lentil
35,28,33,6.8,24,180,77,coconut
114,17,53,7,20,85,80,muskmelon
101,28,49,6.9,20,79,71,muskmelon
118,88,55,5.8,30,189,71,banana
0,68,23,6.2,20,61,65,kidneybeans
28,7,36,6.2,21,65,61,pomegranate
138,42,19,6.4,29,85,69,cotton
34,46,49,6.4,28,147,80,papaya
104,25,52,6.1,20,75,71,muskmelon
5,71,24,7,25,86,64,lentil
53,64,16,6.4,22,75,65,blackgram
38,75,17,7.2,25,99,69,pigeonpeas
127,42,18,6.9,26,97,64,cotton
32,134,200,6.9,13,39,69,grapes
40,19,42,6.1,28,76,67,pomegranate
14,23,43,6.8,38,70,61,pomegranate
7,24,7,6.7,25,126,70,orange
9,30,10,6.8,20,76,62,orange
28,144,204,6.5,8,122,60,apple
25,67,18,6.7,24,94,70,lentil
26,6,37,6.8,27,69,68,pomegranate
40,58,21,6.6,20,63,62,blackgram
55,68,46,6.6,30,115,79,papaya
26,21,30,7.4,33,175,74,coconut
14,27,32,6.5,23,149,77,mango
40,27,32,7.3,32,152,80,coconut
62,40,15,6.8,21,74,59,maize
22,79,18,6.1,28,81,66,lentil
17,28,30,6.8,24,170,70,mango
18,129,205,7,9,109,69,apple
43,59,20,6.9,32,91,60,blackgram
30,68,45,6.1,27,115,74,papaya
13,22,30,6.2,22,199,77,coconut
20,65,23,6.8,34,83,66,pigeonpeas
46,79,19,7.1,21,69,60,blackgram
48,75,25,6.6,28,59,65,blackgram
139,60,16,6.7,28,52,61,cotton
88,58,45,6.6,30,108,72,rice
11,9,10,6.5,21,109,66,orange
38,5,42,6.8,26,83,70,pomegranate
4,10,32,6.9,30,178,78,coconut
15,28,41,6.8,30,54,61,pomegranate
23,70,23,7.2,20,77,61,pigeonpeas
80,55,36,6.7,31,138,80,rice
107,82,55,6.6,20,182,76,banana
6,26,43,6.6,25,70,64,pomegranate
32,29,26,6.5,25,184,70,coconut
4,36,24,6.5,21,91,60,mungbean
30,78,22,6.6,30,79,61,lentil
0,125,203,6.6,12,44,63,grapes
12,50,17,7.4,23,90,69,mothbeans
21,24,35,6.5,29,98,69,pomegranate
29,133,203,6.4,14,79,69,grapes
110,74,46,6.3,24,179,77,banana
9,30,27,6.6,26,100,74,mango
33,77,81,7.3,29,84,65,chickpea
5,25,25,7,22,184,75,coconut
30,46,45,6.7,23,144,71,papaya
96,45,23,7.1,27,74,54,maize
32,47,16,6.5,20,52,66,mungbean
39,16,28,7.4,28,146,78,mango
19,42,17,6.7,32,76,65,mungbean
23,46,18,7.3,20,53,65,mothbeans
20,135,204,6.1,10,95,68,apple
75,48,16,6.6,24,80,56,maize
9,120,196,6.1,8,114,64,apple
9,78,24,6.3,24,51,63,kidneybeans
4,132,195,6.1,8,76,66,apple
25,58,25,6.8,20,56,62,lentil
25,7,44,6.5,33,56,61,pomegranate
81,86,52,6.9,28,195,72,banana
99,60,16,6.1,28,84,56,maize
25,144,204,6,10,54,70,grapes
93,54,15,6,24,51,57,maize
25,78,23,7.4,35,93,60,blackgram
14,56,24,6.2,31,77,70,pigeonpeas
12,127,195,6.1,7,108,69,apple
12,140,204,6.9,19,80,63,grapes
54,72,23,7.3,28,53,64,blackgram
72,55,19,6.5,22,72,51,maize
31,68,16,5.5,33,79,69,pigeonpeas
84,24,47,6.7,20,71,80,muskmelon
9,60,18,7,20,80,60,mothbeans
105,19,50,6.5,20,53,72,watermelon
26,73,84,7,25,26,70,chickpea
38,6,43,6.7,29,81,69,pomegranate
16,17,26,7.2,24,170,78,mango
12,50,22,7,20,71,63,mungbean
19,62,15,6.4,29,52,68,kidneybeans
27,128,195,6.8,8,102,68,apple
93,17,53,6.6,20,67,77,muskmelon
34,78,15,6.4,22,97,67,kidneybeans
26,10,41,6.3,40,84,61,pomegranate
12,58,18,7,31,88,63,mungbean
32,31,32,6.2,26,196,74,mango
134,37,16,6.4,25,81,61,cotton
50,61,17,6.4,25,88,65,blackgram
83,12,47,6.3,20,62,80,watermelon
3,14,9,6.2,25,143,61,orange
42,71,83,6.3,29,52,66,chickpea
55,63,51,6.3,30,133,72,papaya
9,11,31,7.3,34,152,73,coconut
36,18,30,6.1,32,141,79,mango
9,37,16,6.8,22,69,64,mungbean
25,123,200,6.7,18,41,65,grapes
8,44,24,6.1,26,100,61,mungbean
45,74,81,7,25,60,68,chickpea
1,134,196,6.2,16,63,63,grapes
11,129,203,6.2,19,72,70,grapes
5,131,200,6.8,19,58,66,grapes
112,25,53,6.9,20,95,79,watermelon
104,24,54,6.6,20,50,71,watermelon
6,18,33,7.4,22,187,76,coconut
9,74,17,6.5,27,56,60,kidneybeans
33,55,78,6.5,22,31,69,chickpea
22,40,23,6.2,29,53,70,mungbean
138,48,17,6.2,29,65,60,cotton
18,47,20,7.4,25,86,63,mothbeans
60,61,49,6.4,27,144,80,papaya
96,15,46,6.1,20,50,76,muskmelon
30,28,37,7,38,64,65,pomegranate
95,16,52,6.2,20,75,71,muskmelon
119,5,45,6.5,20,91,76,watermelon
9,80,19,6.5,21,74,68,kidneybeans
118,81,53,5.6,28,153,73,banana
39,58,77,7.4,29,68,64,chickpea
5,58,20,6.6,23,88,64,mungbean
20,57,21,6.9,34,73,67,mothbeans
87,17,46,6.7,20,66,70,watermelon
112,37,20,6.3,23,69,65,cotton
31,14,28,6.6,21,180,77,coconut
32,48,25,6.3,34,73,69,mungbean
50,62,46,6.5,24,111,79,papaya
11,62,16,6.3,28,70,64,lentil
67,58,39,7,21,132,73,rice
46,74,81,6.3,30,69,62,chickpea
97,54,22,7.3,26,94,52,maize
38,28,45,6.3,35,54,69,pomegranate
72,56,20,7.4,28,95,51,maize
35,19,37,6.4,24,59,70,pomegranate
15,43,22,6.5,32,99,65,mothbeans
44,55,21,6.1,25,64,60,blackgram
28,56,19,6.5,31,90,65,blackgram
26,52,18,7.1,30,74,62,mothbeans
13,61,25,6.3,21,95,62,lentil
21,61,16,6.7,22,80,69,kidneybeans
12,36,35,7.1,26,150,78,mango
66,42,24,6.2,27,63,58,maize
30,145,200,6.3,6,124,60,apple
52,64,81,6.1,24,92,68,chickpea
0,13,32,6.4,25,177,77,coconut
38,59,21,6.9,26,75,65,kidneybeans
50,66,85,6.4,22,33,63,chickpea
1,126,202,7,17,87,60,grapes
29,138,196,6.3,5,124,63,apple
33,62,23,6.7,32,64,60,blackgram
34,68,16,6.7,26,62,65,pigeonpeas
16,17,25,7.2,30,162,70,coconut
1,17,42,6.1,34,57,61,pomegranate
9,78,20,6,28,62,61,kidneybeans
27,56,24,7.4,22,95,63,pigeonpeas
83,16,47,6.2,20,89,72,muskmelon
32,20,29,6.1,26,154,77,mango
47,61,80,6.4,23,49,66,chickpea
38,72,22,6.6,27,72,66,kidneybeans
37,142,202,6.1,7,95,62,apple
36,5,12,6.2,23,127,66,orange
10,66,24,6.4,21,98,63,pigeonpeas
24,19,43,6.7,37,99,69,pomegranate
33,72,25,7.1,33,94,67,pigeonpeas
10,24,31,7.3,27,169,73,coconut
108,95,49,7,24,189,80,banana
15,123,205,6.6,20,27,64,grapes
8,66,23,5.8,23,74,63,pigeonpeas
48,74,75,6.4,25,75,60,chickpea
16,9,44,6.8,28,82,70,pomegranate
45,74,84,7.3,22,32,66,chickpea
30,40,15,6.8,26,78,62,mungbean
76,46,19,7.4,26,83,60,maize
17,75,19,6,29,73,66,pigeonpeas
36,39,30,7.3,25,196,75,mango
96,70,46,6.5,28,161,76,banana
3,30,32,6.4,33,110,76,mango
14,28,33,6.3,31,124,71,mango
39,28,27,6.9,22,168,78,coconut
99,83,49,6.4,29,169,79,banana
30,54,54,6,20,139,74,papaya
30,36,22,6.4,33,74,70,mungbean
92,43,43,6.4,28,119,80,rice
31,65,75,6.8,22,39,65,chickpea
8,45,19,6.3,23,55,61,mungbean
26,30,25,6.9,27,170,77,coconut
27,64,22,6,33,92,65,pigeonpeas
36,76,18,6.7,34,83,70,pigeonpeas
37,70,23,6.6,21,54,63,kidneybeans
33,20,30,6,34,160,77,coconut
109,53,21,6.5,21,59,68,cotton
91,22,49,6.8,20,56,79,watermelon
40,75,24,7.1,32,92,61,blackgram
31,62,84,6.5,23,40,64,chickpea
30,72,20,6.4,29,53,62,kidneybeans
82,19,47,6.3,20,100,76,watermelon
17,137,205,7,5,143,67,apple
140,53,24,6.2,29,66,60,cotton
88,78,54,6.2,20,155,80,banana
24,136,204,6.5,6,141,67,apple
67,55,39,6.1,32,138,76,rice
123,42,16,6.1,22,89,60,cotton
23,54,15,6.3,30,81,64,mothbeans
18,58,20,6.5,31,62,64,mungbean
24,136,203,6.6,16,38,60,grapes
22,77,77,7,24,90,65,chickpea
59,62,46,6.7,30,93,72,papaya
105,24,53,6.2,20,73,74,watermelon
24,32,28,6.5,24,163,75,mango
22,28,35,6,38,99,63,pomegranate
4,20,29,7.4,21,124,70,mango
4,139,200,6.1,6,134,68,apple
24,141,198,6.1,10,78,65,apple
8,26,42,6.4,24,61,64,pomegranate
33,29,32,6.9,25,145,75,mango
106,83,47,6.4,21,158,78,banana
11,55,17,6.2,32,71,66,mothbeans
15,60,16,6,27,95,63,kidneybeans
7,143,205,7,11,49,65,grapes
24,8,14,6.5,26,122,61,orange
90,27,49,6.6,20,96,77,watermelon
34,64,24,5.7,30,82,70,pigeonpeas
37,39,21,6.6,27,82,60,mothbeans
53,47,46,6.3,21,101,73,papaya
25,7,25,7.5,25,162,73,coconut
84,75,48,5.9,25,173,79,banana
20,47,24,6.2,34,84,65,mungbean
97,79,45,5.9,21,186,79,banana
19,141,199,6.4,12,57,68,grapes
32,39,18,6.9,34,89,63,mungbean
24,19,26,7.3,32,190,77,mango
18,9,13,6.3,25,134,67,orange
19,19,6,6.2,20,78,61,orange
23,57,25,7.1,29,67,60,mothbeans
118,75,54,6.9,22,185,79,banana
108,70,47,6.6,20,170,80,banana
46,63,45,6.5,27,122,71,papaya
37,10,35,6.9,24,68,67,pomegranate
89,35,17,7.4,27,50,54,maize
95,29,46,6.6,20,92,78,watermelon
22,80,21,6.6,25,50,69,kidneybeans
9,53,18,6.4,29,72,63,mungbean
79,50,37,6.1,29,120,80,rice
3,36,27,6.1,34,125,71,mango
70,43,44,5.7,29,123,80,rice
86,28,49,6.4,20,50,79,muskmelon
4,49,16,6.2,32,100,68,mothbeans
37,63,53,6.6,23,101,75,papaya
16,57,15,6.4,35,67,65,mungbean
11,43,17,6.5,33,95,69,mothbeans
117,12,47,6.9,20,82,74,watermelon
37,54,23,7,20,53,64,mungbean
66,53,50,6.3,26,86,77,papaya
41,61,82,7.5,24,55,67,chickpea
10,61,15,6.4,30,83,60,kidneybeans
3,66,23,6.7,21,77,61,lentil
26,17,27,7.2,24,151,73,coconut
4,70,22,6,27,93,67,lentil
2,77,18,6.8,24,92,61,lentil
35,6,38,6.9,33,100,61,pomegranate
55,50,52,6.2,30,93,80,papaya
46,67,19,6,27,60,62,blackgram
122,48,17,6.4,21,91,69,cotton
46,67,47,6.3,26,89,73,papaya
31,10,29,6.1,26,179,76,coconut
101,25,48,6.7,20,68,75,muskmelon
28,16,7,7,28,117,64,orange
109,14,48,6.8,20,77,77,watermelon
63,48,39,6.1,30,106,74,rice
108,83,47,6.5,26,193,73,banana
30,35,26,6.6,24,188,73,mango
33,50,45,6.3,29,100,74,papaya
19,12,40,6.8,24,61,67,pomegranate
35,15,41,6.8,27,67,64,pomegranate
103,47,18,6.5,24,65,67,cotton
91,44,20,7,23,54,56,maize
15,19,9,6.7,21,142,60,orange
36,75,20,6.2,21,78,63,lentil
118,21,54,6.9,20,53,75,watermelon
17,8,43,6.6,29,60,68,pomegranate
33,59,82,7,22,86,61,chickpea
27,68,25,6.3,33,81,64,pigeonpeas
54,66,15,6.2,23,73,60,blackgram
16,7,7,6.4,22,94,63,orange
7,16,27,6.4,33,157,73,coconut
13,68,21,6.7,24,78,70,kidneybeans
19,29,13,6.8,22,140,66,orange
8,7,44,6.4,33,63,66,pomegranate
40,5,44,6,30,51,60,pomegranate
39,76,15,6.7,20,67,63,kidneybeans
35,144,199,6.2,6,113,70,apple
19,58,21,6.8,29,71,61,kidneybeans
46,65,85,7.1,28,27,66,chickpea
40,61,20,6.4,23,71,60,kidneybeans
96,24,55,6.6,20,51,70,watermelon
0,78,18,6.9,25,78,68,lentil
38,55,45,6.1,24,141,76,papaya
1,35,25,6.3,33,76,64,mungbean
45,75,15,7.3,23,63,61,blackgram
12,65,23,6.4,26,92,66,lentil
9,143,198,6.7,8,121,64,apple
80,25,48,6.4,20,66,75,muskmelon
113,78,51,5.8,20,171,77,banana
3,72,18,6.4,26,69,63,pigeonpeas
27,48,22,6.2,35,79,65,mungbean
35,30,9,6.4,27,116,64,orange
59,68,80,6.1,24,47,63,chickpea
19,69,21,6.8,29,62,61,lentil
103,30,54,6.7,20,73,70,muskmelon
5,130,202,6.9,13,51,62,grapes
22,55,21,6.2,21,81,61,kidneybeans
14,67,16,6.1,25,98,68,lentil
115,14,51,6,20,59,71,muskmelon
108,71,49,6.2,28,200,76,banana
7,123,202,6.1,18,57,69,grapes
100,57,24,7,25,75,58,maize
14,133,198,6.8,16,27,60,grapes
4,134,201,6.3,10,103,63,apple
40,67,75,7.3,29,74,70,chickpea
32,16,45,6.4,31,79,65,pomegranate
82,36,25,6.5,25,66,58,maize
89,74,46,6.2,28,172,77,banana
13,26,33,6.6,27,179,76,coconut
68,56,42,6.3,21,107,79,rice
3,20,40,6.1,40,79,63,pomegranate
29,19,32,6.7,32,194,72,coconut
25,80,85,6.8,20,45,60,chickpea
13,30,9,6.4,26,141,70,orange
79,43,42,5.8,27,139,79,rice
23,75,18,7.3,23,97,68,blackgram
92,30,54,7,20,82,77,watermelon
38,80,23,6.2,30,100,64,blackgram
55,79,83,6.5,22,54,70,chickpea
101,28,55,6,20,64,79,watermelon
33,63,54,6.6,24,131,73,papaya
31,68,15,6.3,35,81,60,blackgram
96,81,47,5.9,20,155,72,banana
32,134,203,6.3,6,96,68,apple
89,58,22,6.1,24,84,50,maize
81,56,39,5.7,30,127,78,rice
64,41,37,6.1,22,118,77,rice
86,41,41,6.2,23,125,71,rice
35,48,16,7,25,58,69,mothbeans
9,138,196,6.3,7,75,70,apple
100,45,19,6.7,28,95,68,cotton
9,18,26,6.6,23,123,76,mango
36,72,24,6,21,97,61,pigeonpeas
17,135,201,6.2,16,67,68,grapes
1,62,24,6.7,29,85,61,pigeonpeas
7,127,205,6.5,14,99,68,grapes
110,81,45,6.4,21,167,72,banana
1,15,35,7.4,29,199,72,coconut
35,55,15,6.7,28,73,70,lentil
16,66,24,6,24,55,61,lentil
36,65,21,6.9,25,61,66,lentil
70,58,42,6.8,34,141,80,rice
30,139,203,6.8,10,59,64,grapes
27,43,22,6.6,35,61,64,mothbeans
52,71,83,6.7,27,38,62,chickpea
119,59,25,6.5,28,98,69,cotton
33,141,198,6.1,11,31,60,grapes
24,8,38,6.5,26,78,69,pomegranate
26,133,205,6.2,16,43,65,grapes
32,76,85,6.4,20,88,65,chickpea
40,56,47,6.7,22,136,76,papaya
31,24,41,6.7,32,62,68,pomegranate
19,59,21,7.4,25,79,66,mothbeans
92,78,48,5.6,29,151,73,banana
9,68,15,7,27,98,62,kidneybeans
29,26,28,6.2,27,130,73,mango
22,25,38,6.5,22,85,64,pomegranate
20,65,18,7.2,35,98,63,blackgram
51,57,80,7.4,25,65,64,chickpea
82,81,47,6.6,21,165,72,banana
38,37,28,6.9,30,159,72,mango
32,57,16,6.9,27,84,68,kidneybeans
51,46,51,6.6,21,129,74,papaya
14,12,43,6.7,33,73,67,pomegranate
26,70,17,6.5,27,98,62,kidneybeans
110,18,50,6.7,20,60,74,watermelon
29,10,30,7,21,166,72,coconut
86,86,50,5.8,20,195,75,banana
34,57,16,6.8,22,96,70,kidneybeans
34,8,9,6.5,20,149,67,orange
88,22,50,6.8,20,72,75,muskmelon
106,56,17,6.4,20,92,62,cotton
40,24,30,6.4,22,168,70,coconut
118,7,48,6.5,20,58,80,muskmelon
112,25,45,6.5,20,80,70,muskmelon
70,42,45,6.3,24,134,79,rice
97,58,42,6.6,31,102,74,rice
15,71,25,6.7,28,66,69,lentil
35,80,22,6.6,20,98,69,blackgram
20,71,18,6.2,24,50,69,lentil
12,28,40,6.1,40,69,70,pomegranate
12,16,45,6.8,24,84,64,pomegranate
14,69,25,6,26,66,62,pigeonpeas
22,35,17,6.6,26,95,70,mothbeans
38,59,23,6.8,32,64,70,blackgram
39,16,33,6.1,30,127,75,mango
24,63,16,6.1,21,96,69,kidneybeans
118,94,49,6.4,30,163,73,banana
67,69,55,6.1,26,121,75,papaya
102,24,49,6.3,20,53,72,watermelon
35,24,8,6,30,128,65,orange
39,60,25,6.9,25,80,66,lentil
10,71,15,6.1,30,69,61,kidneybeans
26,132,196,6.1,5,109,67,apple
36,45,19,6.4,28,63,63,mungbean
31,23,30,6.1,26,175,78,mango
65,54,15,6.2,25,94,57,maize
18,123,204,6.8,20,87,62,grapes
56,63,85,6.4,26,48,66,chickpea
3,37,15,7.3,30,89,66,mothbeans
33,8,29,6.1,20,188,70,coconut
28,76,18,6.5,23,51,70,pigeonpeas
15,15,27,7.3,35,135,73,mango
26,14,11,6.6,21,84,67,orange
111,60,16,6.5,20,63,61,cotton
80,10,50,6.4,20,65,76,watermelon
21,10,30,6.6,27,176,71,coconut
9,76,25,7.1,28,63,64,pigeonpeas
13,76,16,6.2,33,99,61,pigeonpeas
21,64,24,6.6,29,66,70,kidneybeans
35,30,6,6.9,28,83,67,orange
6,142,204,6.8,13,40,70,grapes
3,15,31,7.2,23,182,72,coconut
89,54,37,5.8,24,142,79,rice
116,51,18,6.9,25,99,60,cotton
62,54,38,6,35,120,73,rice
109,89,47,6.7,29,165,74,banana
34,75,21,6.5,25,60,66,blackgram
31,69,80,6.8,21,36,69,chickpea
19,145,195,6.5,8,96,63,apple
86,80,53,6.4,23,155,75,banana
67,59,24,7.3,23,82,55,maize
30,60,75,6.9,28,95,64,chickpea
7,66,18,6.8,24,90,68,lentil
27,50,20,6.1,28,87,70,mungbean
22,123,201,6.4,9,89,69,apple
95,20,54,6.3,20,82,75,watermelon
115,94,54,6.3,23,173,79,banana
38,65,53,6.7,25,107,72,papaya
20,34,27,6.9,32,111,76,mango
14,68,25,6.3,29,80,62,pigeonpeas
34,34,32,6.7,35,143,76,mango
122,41,15,6.3,22,99,70,cotton
25,79,76,7,30,78,62,chickpea
12,60,24,6,25,81,62,lentil
20,75,21,6.4,27,80,62,lentil
97,21,45,6.3,20,87,79,muskmelon
28,144,204,6.7,11,72,63,grapes
102,12,52,6.5,20,64,78,muskmelon
115,10,51,7,20,84,70,muskmelon
3,58,19,6.2,23,73,62,lentil
26,56,25,6.7,27,92,65,kidneybeans
38,5,39,6.6,28,79,66,pomegranate
23,73,23,6.8,29,100,68,kidneybeans
29,67,17,6.1,20,87,63,lentil
121,51,18,6.7,23,58,69,cotton
38,27,12,6.7,26,105,70,orange
7,50,16,6.6,21,50,67,mungbean
13,57,19,6.8,34,65,63,mungbean
16,62,22,6.7,21,55,66,kidneybeans
50,58,17,6.1,28,67,68,blackgram
16,29,31,7.3,20,190,73,coconut
60,54,20,6.4,30,96,53,maize
25,13,34,6.6,31,190,70,coconut
35,59,24,7.4,29,90,70,pigeonpeas
140,35,17,6.1,27,78,61,cotton
1,7,37,6.3,25,57,68,pomegranate
15,77,18,6.4,35,78,61,pigeonpeas
29,26,25,6.1,24,161,73,mango
111,7,47,6.9,20,62,73,muskmelon
11,134,199,6.2,7,79,60,apple
6,63,20,6.7,28,75,61,kidneybeans
5,65,18,5.6,23,95,63,pigeonpeas
12,14,8,6.5,29,81,62,orange
1,122,198,7,20,38,64,grapes
26,66,15,5.7,30,54,60,pigeonpeas
65,42,22,7.1,23,95,53,maize
102,15,53,6.4,20,68,73,muskmelon
29,133,203,6.6,18,32,70,grapes
11,40,23,6.5,26,58,70,mothbeans
36,46,24,7.1,28,68,62,mothbeans
4,124,203,6.6,14,54,61,grapes
22,49,17,6.4,26,54,66,mungbean
23,48,21,6,28,81,61,mothbeans
17,30,41,6.1,29,68,61,pomegranate
99,83,50,6.7,22,190,78,banana
82,49,40,6.5,21,116,77,rice
36,132,199,6.3,7,83,66,apple
59,59,22,7.4,24,52,63,blackgram
78,54,25,6.8,22,77,55,maize
23,120,195,6.7,7,126,67,apple
13,121,200,6.9,19,57,64,grapes
8,138,196,7,5,98,64,apple
51,77,21,6.4,31,64,60,blackgram
5,125,195,6.7,10,81,68,apple
83,41,42,6.8,33,132,75,rice
23,27,26,7.3,35,158,80,coconut
137,39,17,6.3,28,62,70,cotton
112,8,52,6.6,20,83,78,watermelon
25,78,17,5.9,32,75,61,pigeonpeas
31,64,15,5.5,30,52,63,pigeonpeas
84,42,39,6.5,26,123,79,rice
15,15,31,6.3,31,192,75,mango
8,48,19,6.7,35,83,62,mothbeans
8,45,22,7,22,58,62,mungbean
105,81,47,6.2,20,190,74,banana
34,26,28,6.1,22,165,76,coconut
98,41,21,6.5,22,71,60,maize
31,142,197,6.2,10,111,62,apple
20,65,19,6.1,20,62,63,lentil
74,60,24,6.2,21,60,58,maize
40,62,24,7.3,29,72,65,blackgram
2,55,20,6.8,24,78,70,lentil
16,40,28,6.5,33,200,78,mango
10,66,22,5.7,35,100,62,pigeonpeas
47,60,21,6,27,93,68,blackgram
116,41,19,6.8,21,100,66,cotton
28,59,25,5.9,28,51,66,pigeonpeas
26,145,204,6.6,5,118,66,apple
82,17,50,6.1,20,76,75,muskmelon
32,55,54,6.5,22,81,77,papaya
11,58,19,6.7,21,76,61,mungbean
10,21,28,6.8,32,143,80,mango
77,44,35,6.4,30,111,80,rice
32,74,20,6.7,22,78,63,kidneybeans
25,23,38,6.1,36,79,65,pomegranate
11,79,22,6.9,22,54,62,lentil
2,17,12,6,23,113,60,orange
31,132,200,6.3,11,53,69,grapes
90,82,51,6.7,28,159,75,banana
8,137,199,6.2,7,84,62,apple
100,44,23,6.6,29,70,63,cotton
9,22,29,7.2,27,195,76,coconut
51,56,85,7.4,28,27,64,chickpea
46,65,84,7.3,23,30,61,chickpea
64,50,35,6.9,34,134,75,rice
15,61,21,6.9,27,60,69,kidneybeans
117,16,48,6.6,20,88,76,muskmelon
23,49,17,6.9,30,61,69,mothbeans
21,21,30,6.1,33,186,74,mango
34,78,19,6.9,25,91,68,blackgram
101,75,54,5.8,23,159,74,banana
17,75,16,6.2,29,64,69,pigeonpeas
55,70,47,6.8,27,149,75,papaya
7,64,16,6.5,28,83,61,pigeonpeas
52,59,25,7.1,34,73,63,blackgram
98,13,46,6.2,20,100,77,muskmelon
0,27,41,6.8,21,82,69,pomegranate
76,38,43,5.8,23,142,75,rice
13,8,25,6.9,21,157,77,coconut
31,52,53,6.5,24,141,75,papaya
21,55,17,7.1,24,85,60,pigeonpeas
0,17,10,7,23,97,67,orange
24,60,16,7.3,21,100,62,blackgram
38,133,196,6.9,6,111,66,apple
31,25,36,6.9,33,88,64,pomegranate
10,57,17,6.2,30,98,63,mungbean
32,61,48,6,24,133,71,papaya
72,36,23,6.4,29,77,54,maize
118,37,23,6.3,25,53,69,cotton
21,51,16,6.5,32,59,60,mothbeans
9,80,17,6,22,80,63,kidneybeans
70,53,19,6.3,29,53,50,maize
32,39,22,7.1,34,51,67,mothbeans
28,67,19,6.6,26,99,62,lentil
110,45,21,6.4,30,78,67,cotton
5,56,22,6.9,34,100,63,pigeonpeas
97,50,41,5.9,22,115,70,rice
76,36,25,6.2,22,96,59,maize
1,125,199,7,10,90,60,grapes
102,12,47,6.6,20,51,80,muskmelon
20,30,10,6.1,25,122,62,orange
42,70,46,6.5,21,89,72,papaya
59,61,52,6.9,21,130,77,papaya
12,52,21,6.5,28,63,67,mungbean
108,46,16,6.3,26,83,68,cotton
0,27,35,6.3,35,163,72,coconut
92,59,43,7,35,133,70,rice
30,126,202,6.4,5,127,69,apple
4,130,198,6.4,10,48,68,grapes
87,86,50,6.4,25,177,80,banana
80,58,38,5.6,29,121,74,rice
111,19,53,6.5,20,50,71,muskmelon
10,55,25,6.1,28,55,67,pigeonpeas
74,39,23,6.5,20,84,56,maize
10,29,45,6.1,22,98,70,pomegranate
112,94,48,6.1,28,172,74,banana
3,57,25,7.2,30,92,62,pigeonpeas
124,42,23,7,20,67,70,cotton
36,15,35,6.9,27,191,73,coconut
30,126,197,6.1,14,51,65,grapes
15,9,38,6,24,67,65,pomegranate
93,52,22,6.7,30,97,57,maize
37,64,17,7,23,82,68,lentil
110,8,49,6.4,20,90,74,watermelon
55,60,24,7.4,35,64,60,blackgram
21,80,25,6.3,26,80,65,pigeonpeas
51,65,21,6.8,28,82,68,blackgram
18,141,196,6.5,8,131,68,apple
1,126,204,6.9,9,83,62,apple
65,54,41,6.3,24,123,73,rice
24,7,31,7.3,31,161,80,coconut
37,61,24,6.5,23,71,60,kidneybeans
32,65,15,6.4,22,92,65,lentil
12,32,32,6.2,21,115,74,mango
82,55,17,6.9,23,73,56,maize
16,46,15,7.4,22,97,67,mothbeans
99,9,47,6.4,20,84,79,muskmelon
40,42,16,6.8,25,92,66,mothbeans
40,69,21,6.3,30,67,62,lentil
18,42,22,6.7,29,79,60,mungbean
20,37,17,6.7,27,55,64,mungbean
109,54,25,6.9,25,63,63,cotton
36,127,198,6.6,5,123,62,apple
8,47,19,6.1,22,52,61,mungbean
36,133,196,6.1,8,99,63,apple
56,68,50,6.3,22,112,76,papaya
80,80,46,6.2,27,174,76,banana
38,67,75,7.5,27,71,62,chickpea
38,70,52,6.6,30,81,80,papaya
25,18,45,6.7,38,100,63,pomegranate
16,21,6,6.2,21,79,61,orange
21,72,78,7.1,21,45,60,chickpea
80,43,19,7,21,96,59,maize
34,11,31,7.3,24,153,75,coconut
113,82,47,6.1,20,178,80,banana
12,79,18,6.7,24,50,64,kidneybeans
52,75,83,6.9,29,46,67,chickpea
16,60,24,6.1,30,58,65,kidneybeans
34,16,31,6.9,27,188,79,coconut
18,71,24,6.8,22,95,60,lentil
36,58,46,6.2,29,139,71,papaya
29,72,24,5.6,29,72,60,pigeonpeas
22,76,17,7.4,25,53,68,pigeonpeas
13,10,8,6.6,23,125,67,orange
21,5,35,6.5,35,83,70,pomegranate
108,28,45,6.7,20,90,80,watermelon
23,15,28,6,24,123,80,mango
18,58,15,6.8,35,52,60,mothbeans
5,23,7,6.7,27,108,64,orange
134,35,17,6.6,26,60,62,cotton
17,71,23,6.6,26,55,70,kidneybeans
31,24,29,6.2,28,183,78,coconut
15,141,202,6.7,10,129,67,apple
21,131,203,6.9,5,95,70,apple
37,54,22,6.6,21,92,67,mungbean
22,80,21,6.4,24,52,61,kidneybeans
24,41,21,6.7,23,58,62,mungbean
24,123,199,6.5,7,150,69,apple
84,95,55,6.6,24,169,80,banana
120,55,24,6.3,27,52,65,cotton
13,48,15,6.9,20,58,61,mungbean
61,43,40,5.7,23,144,75,rice
13,60,22,6.2,35,99,69,pigeonpeas
93,49,40,5.7,34,122,75,rice
136,44,17,6.2,28,55,70,cotton
97,50,25,6.6,23,92,50,maize
18,39,21,6.1,25,81,70,mothbeans
84,17,54,7,20,95,72,watermelon
94,18,46,6.3,20,79,79,muskmelon
108,16,54,6.5,20,71,76,watermelon
113,23,52,6.9,20,77,79,watermelon
36,10,42,6.2,31,50,69,pomegranate
36,65,45,6.8,27,139,79,papaya
